date,target,days_to_news,open,high,low,close,vol,signed_volume,zero_vol_mins_count,significant_mins_count,max_signed_volume,trade_value,trade_value_std,RSI_above_80_count,RSI_below_20_count,avg_price,max_box_cross_2p_count,price_cross_bb,30d_avg_trade_value,trade_val_ratio,body_vs_shadow,interaday_volatility,cloud_width_to_range,max_10_min_price_change_pos,max_10_min_price_change_neg,max_10_min_trade_Value,correlation,RSI
2017-12-05,0,0,135.0366202346041,141.61143695014664,135.0366202346041,137.97,362428096.94861203,46624730.000001095,19,0,23099999.99999984,50524500469,492586453.74362683,19,26,139.40558387823825,1,39,28913768722.666668,1.7474200943369866,0.44615384615384557,1.2216807391125395,0.2112306981600828,0.018050541516245504,-0.013186813,14507406324,0.29016792519795276,56.94288913773791
2017-12-09,0,0,140.80634336283185,144.09384778761063,139.44076460176993,142.88,325762162.3040314,23190560.00000052,18,0,13156368.000000056,46303786266,370194455.2,18,7,142.13985423753738,0,25,29848195610.066666,1.5513093947422232,0.44565217391304435,1.046476069568267,0.2984694383553579,0.020560085076214027,-0.014135556,8359498769,0.2162713605776504,72.49999999999991
2017-12-10,0,0,142.7276856524874,145.15537130497478,139.18731074260995,140.3,291840538.4461867,14875522.99999954,36,0,31828212.000000037,41090233188,417014263.2336956,2,15,140.7968660103632,1,20,30741562028,1.3366345259502936,0.40677966101694857,1.145163863799987,0.23270593697667236,0.014642857142857001,-0.017651297,7989616710,0.026507726,64.91605682307362
2017-12-11,0,0,141.10355798836812,147.83,141.10355798836812,147.83,1031769686.8565243,590549926.9999977,76,0,447174196.0000002,1.52365E+11,2530140354.3911185,9,3,147.67301390023053,1,10,35280082662,4.318712650692704,1,0.32569717059690756,0.11258488912085586,0.014368799178925697,-0.014578271,54635863455,-0.160071247,75.6187291
2017-12-12,0,0,154.20393979933112,155.01314381270905,149.19698996655518,151.22,1070567977.5162014,-69850022,4,0,69063509.99999979,163809741938.99997,2723524239.574386,6,10,153.01199492165924,2,23,40454641746.166664,4.049219937895557,0.5130434782608715,1.2568195938431224,0.056162045,0.012675117,-0.021512605,11873982950,-0.67332637,80.79552517091359
2017-12-13,0,0,151.1200827300931,151.4741123750431,146.16366770079284,146.72,462702026.0496183,3689255.0000009676,11,0,9506280.000000007,68625055521,454861267.02820987,4,7,148.31371305394055,2,23,41500443297.433334,1.653598132173307,0.8285714285714335,0.9362088460107468,0.1495492202692237,0.015254237,-0.02417962,8865663812,-0.266022917,73.21881160236555
2017-12-16,0,0,150.20677907777014,151.0665485203028,146.7171266345492,146.97,308689271.6,-14680380,25,0,2912247.0000000885,45780930053,428956733.0530367,23,20,148.30748671211276,1,30,42500955452.73333,1.077174137977073,0.7441860465116317,0.8228062606628205,0.18097516822239124,0.013135735938026166,-0.012671233,8994666897,-0.424577246,72.42679037402146
2017-12-17,0,0,147.1736733995207,151.62428620335498,146.0104451,147.73,467573207.49340016,17009685.000000246,23,0,13377650.999999981,69879501121,578258894.9280003,12,3,149.45146556966986,2,19,42073859367,1.6608769001109278,0.099099099,1.3590696233524309,0.17158860763111572,0.026845637583892537,-0.01279834,13878493425,0.5190395996587643,72.94452347083927
2017-12-18,0,0,146.72401353965182,156.89,146.72401353965182,156.89,1547718887.1311111,168338026.99999636,13,0,40830992.99999986,2.4034E+11,2339331708,30,2,155.28663469339713,1,25,48316585710.63333,4.974276512,1,3.513048729845293,0.094754325,0.018954248366013088,-0.007733692,60192768506,-0.446379547,78.06228373702423
2017-12-19,0,0,157.7978987583572,162.85552371856096,157.7978987583572,158.86,652808190.8,91128325.99999885,3,0,116647535.99999864,1.04573E+11,1022446061.375954,6,2,160.18948252064743,2,16,51254378107.63333,2.0402746093104174,0.21000000000000377,0.8476087245614993,0.2003705032501353,0.011694058154235312,-0.010236724,16181408573,-0.493191785,82.51152073732723
